H	H																													
Ts	D	Ts	Ts																											
D	F	Cx	Cx																											
Sh																														
Cx	U																													
Cx																														
Sh																														
U	Cx	Cx	H	H																										
D	D																													
H	H																													
Sh	F																													
F	F	Cx	Ts	F	F	H	D	Ts	D	Cx	Sh	Ts	F	Ts	F	Cx	Fs	U	F	D										
Sh																														
H	H	F	Cx	Cx																										
Cx																														
H																														
H	Cx	Cx	Ts	D	D	F																								
Cx	D	Cx	Sh	U	F	Ts																								
D	U	D																												
Cx	Cx	F																												
F																														
H	F																													
D	D	Cx	D	H																										
Sh	Ts																													
H	Sh	D	Cx	Ts																										
Ts																														
H	H																													
Sh																														
H	C																													
Cx																														
D	F	Cx	F	D	D	C	Fs	F	F	Ha	Ha	Ha	Ha	Ha	Ha	Ts	C	D	Ha	Ha	Ha	Ha	Ha	Ha	F	Ha	D	Ha	Ha	Ts
U	F	Cx	Ts	Ts																										
D	Sh	Cx	Ts	C	H	Cx	Cx	Sh	Cx																					
D																														
Cx																														
U	Cx																													
D																														
D																														
F	Sh	F	F	D	H	Fs	F	Cx	D	D	Fs	F	Ts																	
D	Ts																													
D	H	Cx	Cx	U	F																									
H																														
H																														
H																														
D																														
D	Ts	H	H	F																										
Ts	Cx	H	F																											
D	Cx																													
Ts	Cx	D																												
D	D	F																												
D	H																													
F																														
